No.,Text,Marah,Antisipasi,Jijik,Takut,Bahagia,Sedih,Terkejut,Percaya
1176,"Gamau doa punya temen banyak, maunya dikelilingi temen yang baik-baik, insyaallah ya",0,1,0,0,0,0,0,1
2206,"mungkin dimata kamu, aku cuma sosok sampah yang ngga layak buat dikasih lebih kasih sayang.",1,0,0,0,0,1,0,0
797,"Tahun baru tidak ada yang lebih indah, justru lebih buruk wkwk",0,0,0,0,0,1,0,0
3503,Cinta yang jauh dan jarang bertemu akan digantikan oleh cinta yang dekat dan akrab.,0,0,0,0,1,0,0,0
4053,"Kupikir hujannya udah berhenti. Tapi ternyata belum, sungguh awal 2020 yang sepi.",0,0,0,0,0,1,0,0
2314,"Terimakasih, 2019. Tahun yang bener-bener berarti banget selama hidup. 2020, lebih baik lagi ya?",0,1,0,0,1,0,0,0
3693,Masa masa...dimana seleksi Allah itu nyata.....mana yg munafikun maupun yang tetap istiqomah...,0,1,0,0,0,0,0,0
615,"Dahsyat. Dingin dingin lagi kemulan, eeh di lantai bawah ada yang bikin mie rebus ",0,0,0,0,0,0,1,0
2392,"selamat taun baru susmeee, semoga kedepannya bahagia terus jadi pribadi yang lebih baik ",0,1,0,0,1,0,0,0
2718,Selalu ber hati-hati kawan yang terkena dampak banjir. Hubungi @BNPB_Indonesia bila keadaan semakin bahaya,0,1,0,0,0,0,0,0
2101,Pengen juga kaya yang lain liburan sama keluarga:),0,0,0,0,0,1,0,0
1938,"Stay safe untuk semua yang terkena musibah banjir, semoga diberikan kekuatan dan kesabaran, semoga banjir cepat surut.",0,1,0,0,0,0,0,1
670,Oke mari berdoa buat cuaca yang berkeadilan 2020! Met taun baru dirimuuu,0,1,0,0,1,0,0,0
630,2020 aku mau jadi dewasa dan jadi versi aku yang lebih baik lagilagilagi,0,1,0,0,0,0,0,0
1028,Tuhan aku mohon yang terbaik dalam hal apapun. Ucapku pada sang pencipta.,0,0,0,0,0,0,0,1
1529,yang kena banjir..... hpnya plastikin dulu ya astaga gw yg nangis ntar kalo hp kalian kena aer,0,0,0,1,0,1,0,0
1588,Pray untuk wilayah wilayah yang terkena banjir.. Semoga cepat surut banjirnya,0,1,0,0,0,0,0,0
700,ren adalah akun yang paling gua cinta. adem banget disana,0,0,0,0,1,0,0,1
2006,Tahun 2020 semoga menjadi pribadi yang lebih baik biar di kelilingi orang-orang baik,0,1,0,0,0,0,0,0
77,Doa terbaik buat temen-temen yang saat ini masih bertahan dengan banjir ini. Godspeed!,0,1,0,0,0,0,0,1
1697,"Ya semoga kedepannya 2020 indah sih, covernya aja yang serem ",0,1,0,0,0,0,0,0
451,"Puji Tuhan rumahku tidak banjir. Tapi untuk kalian yang rumah nyaa terkena banjir, semogaa cepat surut yaa!",0,0,0,0,1,0,0,0
